"Drug","Gene","Disease"
"Pozanicline","CHRNA2","ALZHEIMER'S DISEASE"
"TC-01734","CHRNA2","ALZHEIMER'S DISEASE"
"AZD3480","CHRNA2","ALZHEIMER'S DISEASE"
"TC-6683","CHRNA2","ALZHEIMER'S DISEASE"
"NICORETTE INVISI","CHRNA2","ALZHEIMER'S DISEASE"
"CP-601,927","CHRNA2","ALZHEIMER'S DISEASE"
"Habitrol","CHRNA2","ALZHEIMER'S DISEASE"
"A-422894.0","CHRNA2","ALZHEIMER'S DISEASE"
"NIH-11008","CHRNA2","ALZHEIMER'S DISEASE"
"NERAMEXANE MESYLATE","CHRNA9","ALZHEIMER'S DISEASE"
"CHEMBL2109238","CHRNA9","ALZHEIMER'S DISEASE"
"CHEMBL2492","CHRNA9","ALZHEIMER'S DISEASE"
"Encenicline","CHRNA9","ALZHEIMER'S DISEASE"
"MT-4666","CHRNA9","ALZHEIMER'S DISEASE"
"EVP-6124","CHRNA9","ALZHEIMER'S DISEASE"
"SSR180711C","CHRNA9","ALZHEIMER'S DISEASE"
"MEM-3454","CHRNA9","ALZHEIMER'S DISEASE"
"RG-3487","CHRNA9","ALZHEIMER'S DISEASE"
"ND0801","CHRNA9","ALZHEIMER'S DISEASE"
"AZD-0328","CHRNA9","ALZHEIMER'S DISEASE"
"PHA-543613","CHRNA9","ALZHEIMER'S DISEASE"
"TC-5619","CHRNA9","ALZHEIMER'S DISEASE"
"APN-1125","CHRNA9","ALZHEIMER'S DISEASE"
"Anvylic-3288","CHRNA9","ALZHEIMER'S DISEASE"
"XY-4083","CHRNA9","ALZHEIMER'S DISEASE"
"UCI-4083","CHRNA9","ALZHEIMER'S DISEASE"
"CCMI","CHRNA9","ALZHEIMER'S DISEASE"
"ABT-107","CHRNA9","ALZHEIMER'S DISEASE"
"ATG003","CHRNA9","ALZHEIMER'S DISEASE"
"Galantamine","CHRNA9","ALZHEIMER'S DISEASE"
"Lobeline","CHRNA9","ALZHEIMER'S DISEASE"
"RPI-78M","CHRNA9","ALZHEIMER'S DISEASE"
"Tetraethylammonium","CHRNA9","ALZHEIMER'S DISEASE"
"Amantadine","CHRNA9","ALZHEIMER'S DISEASE"
"Amobarbital","CHRNA9","ALZHEIMER'S DISEASE"
"Aprobarbital","CHRNA9","ALZHEIMER'S DISEASE"
"Barbital","CHRNA9","ALZHEIMER'S DISEASE"
"Barbituric acid derivative","CHRNA9","ALZHEIMER'S DISEASE"
"Butabarbital","CHRNA9","ALZHEIMER'S DISEASE"
"Butalbital","CHRNA9","ALZHEIMER'S DISEASE"
"Butobarbital","CHRNA9","ALZHEIMER'S DISEASE"
"Choline","CHRNA9","ALZHEIMER'S DISEASE"
"Choline salicylate","CHRNA9","ALZHEIMER'S DISEASE"
"Cytisine","CHRNA9","ALZHEIMER'S DISEASE"
"Epibatidine","CHRNA9","ALZHEIMER'S DISEASE"
"GTS-21","CHRNA9","ALZHEIMER'S DISEASE"
"Heptabarbital","CHRNA9","ALZHEIMER'S DISEASE"
"Hexobarbital","CHRNA9","ALZHEIMER'S DISEASE"
"Metharbital","CHRNA9","ALZHEIMER'S DISEASE"
"Methylphenobarbital","CHRNA9","ALZHEIMER'S DISEASE"
"Phenobarbital","CHRNA9","ALZHEIMER'S DISEASE"
"Primidone","CHRNA9","ALZHEIMER'S DISEASE"
"Secobarbital","CHRNA9","ALZHEIMER'S DISEASE"
"Talbutal","CHRNA9","ALZHEIMER'S DISEASE"
"Tubocurarine","CHRNA9","ALZHEIMER'S DISEASE"
"Neramexane","CHRNA9","ALZHEIMER'S DISEASE"
"MITIGARE","CNTN1","PARKINSON'S DISEASE"
"Colchicine","CNTN1","PARKINSON'S DISEASE"
"CROLIBULIN","CNTN1","PARKINSON'S DISEASE"
"TRASTUZUMAB-MCC-DM1 T-DM1","CNTN1","PARKINSON'S DISEASE"
"XYOTAX","CNTN1","PARKINSON'S DISEASE"
"Paclitaxel","CNTN1","PARKINSON'S DISEASE"
"ADCETRIS","CNTN1","PARKINSON'S DISEASE"
"COLCRYS","CNTN1","PARKINSON'S DISEASE"
"cAC10-vcMMAE","CNTN1","PARKINSON'S DISEASE"
"Taxol 100","CNTN1","PARKINSON'S DISEASE"
"VINBLASTINE","CNTN1","PARKINSON'S DISEASE"
"JEVTANA KIT","CNTN1","PARKINSON'S DISEASE"
"AL-208","CNTN1","PARKINSON'S DISEASE"
"EPC2407","CNTN1","PARKINSON'S DISEASE"
"CABAZITAXEL","CNTN1","PARKINSON'S DISEASE"
"FOSBRETABULIN","CNTN1","PARKINSON'S DISEASE"
"SAGOPILONE","CNTN1","PARKINSON'S DISEASE"
"AL-108","CNTN1","PARKINSON'S DISEASE"
"BRENTUXIMAB VEDOTIN","CNTN1","PARKINSON'S DISEASE"
"CHEMBL1996","CSF3R","UNIPOLAR DEPRESSION"
"Lipegfilgrastim","CSF3R","UNIPOLAR DEPRESSION"
"Neulasta","CSF3R","UNIPOLAR DEPRESSION"
"PEGFILGRASTIM","CSF3R","UNIPOLAR DEPRESSION"
"CHEMBL3234","CSF3R","UNIPOLAR DEPRESSION"
"Metreleptin","CSF3R","UNIPOLAR DEPRESSION"
"CHEMBL5913","CSF3R","UNIPOLAR DEPRESSION"
"FavId","CSF3R","UNIPOLAR DEPRESSION"
"Lenograstim","CSF3R","UNIPOLAR DEPRESSION"
"1-Ter-Butyl-3-P-Tolyl-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine","CSF3R","UNIPOLAR DEPRESSION"
"Phosphonotyrosine","CSF3R","UNIPOLAR DEPRESSION"
"Leptin","CSF3R","UNIPOLAR DEPRESSION"
"SATRALIZUMAB","CSF3R","UNIPOLAR DEPRESSION"
"THALOMID","CUL3","SCHIZOPHRENIA"
"Imnovid","CUL3","SCHIZOPHRENIA"
"BARDOXOLONE METHYL","CUL3","SCHIZOPHRENIA"
"NSC-713200","CUL3","SCHIZOPHRENIA"
"Dimethyl Fumarate","CUL3","SCHIZOPHRENIA"
"RTA-402","CUL3","SCHIZOPHRENIA"
"DIMETHYL FUMAR","CUL3","SCHIZOPHRENIA"
"Tecfidera","CUL3","SCHIZOPHRENIA"
"CDDO-Me","CUL3","SCHIZOPHRENIA"
"AZL 0 211089","CUL3","SCHIZOPHRENIA"
"AZL-0211089","CUL3","SCHIZOPHRENIA"
"PROXIBARBAL","DAO","SCHIZOPHRENIA"
"CHEMBL2118","DAO","SCHIZOPHRENIA"
"GLIPIZIDE","DAO","SCHIZOPHRENIA"
"Glucotrol","DAO","SCHIZOPHRENIA"
"MINODIAB 2.5","DAO","SCHIZOPHRENIA"
"CP-28720","DAO","SCHIZOPHRENIA"
"GLUCOTROL XL","DAO","SCHIZOPHRENIA"
"K 4024","DAO","SCHIZOPHRENIA"
"CP-28,720","DAO","SCHIZOPHRENIA"
"MINODIAB 5","DAO","SCHIZOPHRENIA"
"GLIBENESE","DAO","SCHIZOPHRENIA"
"CHEMBL2096972","DAO","SCHIZOPHRENIA"
"TOLAZAMIDE","DAO","SCHIZOPHRENIA"
"Tolinase","DAO","SCHIZOPHRENIA"
"U-17835","DAO","SCHIZOPHRENIA"
"Orinase Diagnostic","DAO","SCHIZOPHRENIA"
"Tolbutamide sodium","DAO","SCHIZOPHRENIA"
"TOLBUTAMIDE SODIUM, STERILE","DAO","SCHIZOPHRENIA"
"AMARYL","DAO","SCHIZOPHRENIA"
"HOE 490","DAO","SCHIZOPHRENIA"
"NIDDARYL","DAO","SCHIZOPHRENIA"
"Glimepiride","DAO","SCHIZOPHRENIA"
"Glibenclamide","DAO","SCHIZOPHRENIA"
"Gliken","DAO","SCHIZOPHRENIA"
"DIABETA","DAO","SCHIZOPHRENIA"
"GLYBURIDE","DAO","SCHIZOPHRENIA"
"Glyburide (Micronized)","DAO","SCHIZOPHRENIA"
"Lederglib","DAO","SCHIZOPHRENIA"
"Diabetamide 2.5","DAO","SCHIZOPHRENIA"
"EUGLUCON","DAO","SCHIZOPHRENIA"
"Diabetamide 5","DAO","SCHIZOPHRENIA"
"Libanil","DAO","SCHIZOPHRENIA"
"GLYNASE","DAO","SCHIZOPHRENIA"
"HB 419","DAO","SCHIZOPHRENIA"
"Micronase","DAO","SCHIZOPHRENIA"
"MALIX","DAO","SCHIZOPHRENIA"
"U-26,452","DAO","SCHIZOPHRENIA"
"SEMI-DAONIL","DAO","SCHIZOPHRENIA"
"Calabren","DAO","SCHIZOPHRENIA"
"U-26452","DAO","SCHIZOPHRENIA"
"DAONIL","DAO","SCHIZOPHRENIA"
"Glynase Prestab","DAO","SCHIZOPHRENIA"
"Enyglid","DAO","SCHIZOPHRENIA"
"AG-EE 623 ZW","DAO","SCHIZOPHRENIA"
"PRANDIN","DAO","SCHIZOPHRENIA"
"Novonorm","DAO","SCHIZOPHRENIA"
"AGEE-623ZW","DAO","SCHIZOPHRENIA"
"Repaglinide","DAO","SCHIZOPHRENIA"
"Glymese","DAO","SCHIZOPHRENIA"
"DIABINESE","DAO","SCHIZOPHRENIA"
"CHLORPROPAMIDE","DAO","SCHIZOPHRENIA"
"Melitase","DAO","SCHIZOPHRENIA"
"Diabemide","DAO","SCHIZOPHRENIA"
"GLUCAMIDE","DAO","SCHIZOPHRENIA"
"ACETOHEXAMIDE","DAO","SCHIZOPHRENIA"
"Dimelor","DAO","SCHIZOPHRENIA"
"33006","DAO","SCHIZOPHRENIA"
"DYMELOR","DAO","SCHIZOPHRENIA"
"PRAMIDEX","DAO","SCHIZOPHRENIA"
"Starsis","DAO","SCHIZOPHRENIA"
"DJN 608","DAO","SCHIZOPHRENIA"
"SDZ DJN 608","DAO","SCHIZOPHRENIA"
"Nateglinide","DAO","SCHIZOPHRENIA"
"AY4166","DAO","SCHIZOPHRENIA"
"A-4166","DAO","SCHIZOPHRENIA"
"STARLIX","DAO","SCHIZOPHRENIA"
"SDZ-DJN-608","DAO","SCHIZOPHRENIA"
"Amiloride","DAO","SCHIZOPHRENIA"
"Diminazene","DAO","SCHIZOPHRENIA"
"Levosimendan","DAO","SCHIZOPHRENIA"
"Thiamylal","DAO","SCHIZOPHRENIA"
"Yohimbine","DAO","SCHIZOPHRENIA"
"SCH-6783","DAO","SCHIZOPHRENIA"
"HYPERSTAT","DAO","SCHIZOPHRENIA"
"Mutabase","DAO","SCHIZOPHRENIA"
"Proglycem","DAO","SCHIZOPHRENIA"
"SRG 95213","DAO","SCHIZOPHRENIA"
"Eudimine","DAO","SCHIZOPHRENIA"
"Eudemine","DAO","SCHIZOPHRENIA"
"Luventa XL","DAO","SCHIZOPHRENIA"
"Nimodipine","DAO","SCHIZOPHRENIA"
"Galzemic XL","DAO","SCHIZOPHRENIA"
"Osmanil","DAO","SCHIZOPHRENIA"
"Consion XL","DAO","SCHIZOPHRENIA"
"Pivlaz","DAO","SCHIZOPHRENIA"
"Prostacyclin","DAO","SCHIZOPHRENIA"
"ELMINO XL","DAO","SCHIZOPHRENIA"
"AXV-034","DAO","SCHIZOPHRENIA"
"VICTANYL","DAO","SCHIZOPHRENIA"
"Ro 61-1790","DAO","SCHIZOPHRENIA"
"CYKLO-F HEAVY PERIOD RELIEF","DAO","SCHIZOPHRENIA"
"CYKLOKAPRON","DAO","SCHIZOPHRENIA"
"Exacyl","DAO","SCHIZOPHRENIA"
"ACUMOR XL","DAO","SCHIZOPHRENIA"
"CL-65336","DAO","SCHIZOPHRENIA"
"DURAGESIC","DAO","SCHIZOPHRENIA"
"Clazosentan","DAO","SCHIZOPHRENIA"
"PGX","DAO","SCHIZOPHRENIA"
"Actilyse","DAO","SCHIZOPHRENIA"
"Trans Amcha","DAO","SCHIZOPHRENIA"
"REMINYL","DAO","SCHIZOPHRENIA"
"LOTPROSIN XL","DAO","SCHIZOPHRENIA"
"Simvastatin","DAO","SCHIZOPHRENIA"
"Flolan","DAO","SCHIZOPHRENIA"
"REMINYL XL","DAO","SCHIZOPHRENIA"
"GALSYA XL","DAO","SCHIZOPHRENIA"
"DIPRIVAN","DAO","SCHIZOPHRENIA"
"Razadyne","DAO","SCHIZOPHRENIA"
"Tranexamic Acid","DAO","SCHIZOPHRENIA"
"Lysteda","DAO","SCHIZOPHRENIA"
"PROSTAGLANDIN X","DAO","SCHIZOPHRENIA"
"GATALIN XL","DAO","SCHIZOPHRENIA"
"Gazylan XL","DAO","SCHIZOPHRENIA"
"VML-588","DAO","SCHIZOPHRENIA"
"ACTILYSE CATHFLO","DAO","SCHIZOPHRENIA"
"PG-I2","DAO","SCHIZOPHRENIA"
"PROSTAGLANDIN I2","DAO","SCHIZOPHRENIA"
"EPOPROSTENOL","DAO","SCHIZOPHRENIA"
"GALANTHAMINE","DAO","SCHIZOPHRENIA"
"Ketalar","DAO","SCHIZOPHRENIA"
"Activase","DAO","SCHIZOPHRENIA"
"FLOLIPID","DAO","SCHIZOPHRENIA"
"Zeebral XL","DAO","SCHIZOPHRENIA"
"U-53217","DAO","SCHIZOPHRENIA"
"Ranzolont","DAO","SCHIZOPHRENIA"
"Menstralite","DAO","SCHIZOPHRENIA"
"U-53,217","DAO","SCHIZOPHRENIA"
"SYNVINOLIN","DAO","SCHIZOPHRENIA"
"AXV-343434","DAO","SCHIZOPHRENIA"
"Ro-61-1790","DAO","SCHIZOPHRENIA"
"Precedex","DAO","SCHIZOPHRENIA"
"INSULIN RECOMBINANT HUMAN","DAO","SCHIZOPHRENIA"
"Acarbose","DAO","SCHIZOPHRENIA"
"Desunin","DAO","SCHIZOPHRENIA"
"TheiCal D-3","DAO","SCHIZOPHRENIA"
"VIGANTOLETTEN 500","DAO","SCHIZOPHRENIA"
"Bio-Vitamin D3","DAO","SCHIZOPHRENIA"
"GLUCOBAY","DAO","SCHIZOPHRENIA"
"D-Max","DAO","SCHIZOPHRENIA"
"Nph Insulin","DAO","SCHIZOPHRENIA"
"PRECOSE","DAO","SCHIZOPHRENIA"
"Velosulin Br","DAO","SCHIZOPHRENIA"
"INSULIN PORK","DAO","SCHIZOPHRENIA"
"HUX D3","DAO","SCHIZOPHRENIA"
"LAF237","DAO","SCHIZOPHRENIA"
"Ins NovoRapid","DAO","SCHIZOPHRENIA"
"BAY G 5421","DAO","SCHIZOPHRENIA"
"INSULIN SUSP ISOPHANE BEEF","DAO","SCHIZOPHRENIA"
"Natecal D3","DAO","SCHIZOPHRENIA"
"Neo-D","DAO","SCHIZOPHRENIA"
"NPHD3","DAO","SCHIZOPHRENIA"
"Aciferol D3","DAO","SCHIZOPHRENIA"
"Humulin","DAO","SCHIZOPHRENIA"
"EVACAL D3","DAO","SCHIZOPHRENIA"
"Adcal-D3","DAO","SCHIZOPHRENIA"
"Humulin Br","DAO","SCHIZOPHRENIA"
"Insulin Human (Biosynthesis)","DAO","SCHIZOPHRENIA"
"INSULIN LISPRO","DAO","SCHIZOPHRENIA"
"INSULIN (HUMAN)","DAO","SCHIZOPHRENIA"
"D-Tracetten","DAO","SCHIZOPHRENIA"
"CALCIFEROL IN ARACH OIL","DAO","SCHIZOPHRENIA"
"COLEKAL-D3","DAO","SCHIZOPHRENIA"
"Vigantol","DAO","SCHIZOPHRENIA"
"Velosulin Br Human","DAO","SCHIZOPHRENIA"
"Calciferol","DAO","SCHIZOPHRENIA"
"HUMULIN R PEN","DAO","SCHIZOPHRENIA"
"Insulin","DAO","SCHIZOPHRENIA"
"CACIT D3","DAO","SCHIZOPHRENIA"
"NOVOLIN R","DAO","SCHIZOPHRENIA"
"INSULIN HUMAN (SYNTHESIS)","DAO","SCHIZOPHRENIA"
"SunVit-D3 10,000","DAO","SCHIZOPHRENIA"
"Ergo-D2","DAO","SCHIZOPHRENIA"
"Exenatide Synthetic","DAO","SCHIZOPHRENIA"
"HUMULIN R","DAO","SCHIZOPHRENIA"
"Afrezza","DAO","SCHIZOPHRENIA"
"FIASP FLEXTOUCH","DAO","SCHIZOPHRENIA"
"BAY-G-5421","DAO","SCHIZOPHRENIA"
"Galvus","DAO","SCHIZOPHRENIA"
"Insuman Infusat","DAO","SCHIZOPHRENIA"
"CALCICHEW D3 FTE","DAO","SCHIZOPHRENIA"
"Insulin lispro recombinant","DAO","SCHIZOPHRENIA"
"DEKRISTOL","DAO","SCHIZOPHRENIA"
"CUBICOLE D3","DAO","SCHIZOPHRENIA"
"Novolin","DAO","SCHIZOPHRENIA"
"SUNVIT-D3 400","DAO","SCHIZOPHRENIA"
"EXUBERA","DAO","SCHIZOPHRENIA"
"AC-2993","DAO","SCHIZOPHRENIA"
"STIVIT-D3","DAO","SCHIZOPHRENIA"
"CalDrink D3","DAO","SCHIZOPHRENIA"
"VELOSULIN","DAO","SCHIZOPHRENIA"
"NVP-LAF237","DAO","SCHIZOPHRENIA"
"D-Vit3","DAO","SCHIZOPHRENIA"
"SUNVIT-D3 20,000","DAO","SCHIZOPHRENIA"
"Drisdol","DAO","SCHIZOPHRENIA"
"DLux 400","DAO","SCHIZOPHRENIA"
"JARDIANCE","DAO","SCHIZOPHRENIA"
"Calceos","DAO","SCHIZOPHRENIA"
"INS HUMULIN R","DAO","SCHIZOPHRENIA"
"HUMALOG KWIKPEN","DAO","SCHIZOPHRENIA"
"INS HUMALOG","DAO","SCHIZOPHRENIA"
"INSULIN RECOMBINANT PURIFIED HUMAN","DAO","SCHIZOPHRENIA"
"OsteoCaps D3","DAO","SCHIZOPHRENIA"
"Fultium Daily D3","DAO","SCHIZOPHRENIA"
"LIRAGLUTIDE RECOMBINANT","DAO","SCHIZOPHRENIA"
"PRO D3","DAO","SCHIZOPHRENIA"
"EMPAGLIFLOZIN","DAO","SCHIZOPHRENIA"
"SAXENDA","DAO","SCHIZOPHRENIA"
"BI 10773","DAO","SCHIZOPHRENIA"
"HUMULIN R KWIKPEN","DAO","SCHIZOPHRENIA"
"Novolog","DAO","SCHIZOPHRENIA"
"ILETIN I","DAO","SCHIZOPHRENIA"
"Sterogyl-15","DAO","SCHIZOPHRENIA"
"HUMALOG","DAO","SCHIZOPHRENIA"
"Lanes","DAO","SCHIZOPHRENIA"
"SunVit-D3 1,000","DAO","SCHIZOPHRENIA"
"REGULAR INSULIN","DAO","SCHIZOPHRENIA"
"Calcichew D3 Once Daily","DAO","SCHIZOPHRENIA"
"SUNVIT-D3 5,000","DAO","SCHIZOPHRENIA"
"Humalog Pen","DAO","SCHIZOPHRENIA"
"Vildagliptin","DAO","SCHIZOPHRENIA"
"Fiasp","DAO","SCHIZOPHRENIA"
"Novolog Flexpen","DAO","SCHIZOPHRENIA"
"ZYPREXA","DAO","SCHIZOPHRENIA"
"NASOFAN","DAO","SCHIZOPHRENIA"
"Basen","DAO","SCHIZOPHRENIA"
"Voglibose","DAO","SCHIZOPHRENIA"
"Sereflo","DAO","SCHIZOPHRENIA"
"Ventolin","DAO","SCHIZOPHRENIA"
"BY-1023","DAO","SCHIZOPHRENIA"
"FRUSID","DAO","SCHIZOPHRENIA"
"HCTZ","DAO","SCHIZOPHRENIA"
"DRYPTAL","DAO","SCHIZOPHRENIA"
"Humulin L","DAO","SCHIZOPHRENIA"
"Risperdal Quicklet","DAO","SCHIZOPHRENIA"
"JNJ-28431754-AAA","DAO","SCHIZOPHRENIA"
"Nutropin aq nuspin","DAO","SCHIZOPHRENIA"
"INDEGLITAZAR","DAO","SCHIZOPHRENIA"
"GENOTROPIN GOQUICK","DAO","SCHIZOPHRENIA"
"Asmaven","DAO","SCHIZOPHRENIA"
"SODIUM HEPARIN","DAO","SCHIZOPHRENIA"
"CS-045","DAO","SCHIZOPHRENIA"
"Zyprexa Zydis","DAO","SCHIZOPHRENIA"
"EDOXABAN","DAO","SCHIZOPHRENIA"
"EGT0001442","DAO","SCHIZOPHRENIA"
"Increlex","DAO","SCHIZOPHRENIA"
"Humulin N","DAO","SCHIZOPHRENIA"
"Seretide 500","DAO","SCHIZOPHRENIA"
"Nesiritide","DAO","SCHIZOPHRENIA"
"FORXIGA","DAO","SCHIZOPHRENIA"
"BELATACEPT","DAO","SCHIZOPHRENIA"
"Duromine","DAO","SCHIZOPHRENIA"
"Rhufab","DAO","SCHIZOPHRENIA"
"Abilify","DAO","SCHIZOPHRENIA"
"Meflam 500","DAO","SCHIZOPHRENIA"
"NUTROPIN AQ","DAO","SCHIZOPHRENIA"
"BEXAGLIFLOZIN","DAO","SCHIZOPHRENIA"
"AZD6140","DAO","SCHIZOPHRENIA"
"HYDROCHLOROTHIAZIDE INTENSOL","DAO","SCHIZOPHRENIA"
"PONSTEL","DAO","SCHIZOPHRENIA"
"Genotropin [Rdna Origin]","DAO","SCHIZOPHRENIA"
"Thrombophob","DAO","SCHIZOPHRENIA"
"AMG-108","DAO","SCHIZOPHRENIA"
"OPC-31","DAO","SCHIZOPHRENIA"
"TENKOFRUSE","DAO","SCHIZOPHRENIA"
"GENCARDIA","DAO","SCHIZOPHRENIA"
"GENOTROPIN KABIPEN","DAO","SCHIZOPHRENIA"
"KENTAMOL","DAO","SCHIZOPHRENIA"
"Lopace","DAO","SCHIZOPHRENIA"
"Aldactone","DAO","SCHIZOPHRENIA"
"INS TRESIBA","DAO","SCHIZOPHRENIA"
"GLYSET","DAO","SCHIZOPHRENIA"
"Nutropin Aq Pen","DAO","SCHIZOPHRENIA"
"ISCOVER","DAO","SCHIZOPHRENIA"
"Libetist","DAO","SCHIZOPHRENIA"
"CI-473","DAO","SCHIZOPHRENIA"
"Aluzine 500","DAO","SCHIZOPHRENIA"
"FCE 21336","DAO","SCHIZOPHRENIA"
"Dulaglutide","DAO","SCHIZOPHRENIA"
"PROTIUM I.V.","DAO","SCHIZOPHRENIA"
"Norditropin SimpleXx","DAO","SCHIZOPHRENIA"
"Alemtuzumab","DAO","SCHIZOPHRENIA"
"PIRINASE","DAO","SCHIZOPHRENIA"
"ECULIZUMAB","DAO","SCHIZOPHRENIA"
"NN1250","DAO","SCHIZOPHRENIA"
"Prelay","DAO","SCHIZOPHRENIA"
"Levemir","DAO","SCHIZOPHRENIA"
"SOLIRIS","DAO","SCHIZOPHRENIA"
"R-64-766","DAO","SCHIZOPHRENIA"
"Nulojix","DAO","SCHIZOPHRENIA"
"ESIDREX","DAO","SCHIZOPHRENIA"
"TROKENDI XR","DAO","SCHIZOPHRENIA"
"Risperidone","DAO","SCHIZOPHRENIA"
"Asmasal Clickhaler","DAO","SCHIZOPHRENIA"
"NOVOLIN L","DAO","SCHIZOPHRENIA"
"VENTOLIN CR","DAO","SCHIZOPHRENIA"
"INSULIN GLULISINE RECOMBINANT","DAO","SCHIZOPHRENIA"
"Flonase","DAO","SCHIZOPHRENIA"
"Insulin lispro protamine recombinant","DAO","SCHIZOPHRENIA"
"Zide","DAO","SCHIZOPHRENIA"
"Risperdal M","DAO","SCHIZOPHRENIA"
"RUSYDE","DAO","SCHIZOPHRENIA"
"LIQUAEMIN SODIUM PRESERVATIVE FREE","DAO","SCHIZOPHRENIA"
"SAIZEN EASYJECT","DAO","SCHIZOPHRENIA"
"Salapin","DAO","SCHIZOPHRENIA"
"Acetylsalic Acid","DAO","SCHIZOPHRENIA"
"Abilify maintena kit","DAO","SCHIZOPHRENIA"
"Nu-Seals 75","DAO","SCHIZOPHRENIA"
"AEROLIN 400","DAO","SCHIZOPHRENIA"
"INSULIN PURIFIED PORK","DAO","SCHIZOPHRENIA"
"EVOLOCUMAB","DAO","SCHIZOPHRENIA"
"NORDITROPIN FLEXPRO","DAO","SCHIZOPHRENIA"
"Mestinon","DAO","SCHIZOPHRENIA"
"OPC-14597","DAO","SCHIZOPHRENIA"
"Proair HFA","DAO","SCHIZOPHRENIA"
"Liquaemin Sodium","DAO","SCHIZOPHRENIA"
"SALIPRANEB","DAO","SCHIZOPHRENIA"
"Levemir Flexpen","DAO","SCHIZOPHRENIA"
"Ranibizumab","DAO","SCHIZOPHRENIA"
"LEVEMIR FLEXTOUCH","DAO","SCHIZOPHRENIA"
"TRESIBA","DAO","SCHIZOPHRENIA"
"SAIZEN","DAO","SCHIZOPHRENIA"
"PRASUGREL","DAO","SCHIZOPHRENIA"
"TICAGRELOR","DAO","SCHIZOPHRENIA"
"COMBIVENT UDVS","DAO","SCHIZOPHRENIA"
"DIOVAN","DAO","SCHIZOPHRENIA"
"Heparin Sodium","DAO","SCHIZOPHRENIA"
"Ins Levemir","DAO","SCHIZOPHRENIA"
"COMBIVENT","DAO","SCHIZOPHRENIA"
"Glustat","DAO","SCHIZOPHRENIA"
"Regular Iletin Ii","DAO","SCHIZOPHRENIA"
"PRADAXA","DAO","SCHIZOPHRENIA"
"Ruboxistaurin","DAO","SCHIZOPHRENIA"
"Flutiform","DAO","SCHIZOPHRENIA"
"CUTIVATE","DAO","SCHIZOPHRENIA"
"Insulin Zinc Susp Recombinant Human","DAO","SCHIZOPHRENIA"
"PANTOPRAZOLE","DAO","SCHIZOPHRENIA"
"ALUZINE 40","DAO","SCHIZOPHRENIA"
"Lixisenatide","DAO","SCHIZOPHRENIA"
"Diastabol","DAO","SCHIZOPHRENIA"
"PANHEPRIN","DAO","SCHIZOPHRENIA"
"HYDROLED","DAO","SCHIZOPHRENIA"
"GREPID","DAO","SCHIZOPHRENIA"
"DABIGATRAN","DAO","SCHIZOPHRENIA"
"Somatropin","DAO","SCHIZOPHRENIA"
"Uniparin Fte","DAO","SCHIZOPHRENIA"
"CN-35355","DAO","SCHIZOPHRENIA"
"LIPO-HEPIN","DAO","SCHIZOPHRENIA"
"Abilify Maintena","DAO","SCHIZOPHRENIA"
"Ins Apidra OptiClik","DAO","SCHIZOPHRENIA"
"PROVENTIL","DAO","SCHIZOPHRENIA"
"Mefenamic acid","DAO","SCHIZOPHRENIA"
"SOMATROPIN RECOMBINANT","DAO","SCHIZOPHRENIA"
"MK-0431","DAO","SCHIZOPHRENIA"
"MAXIVENT","DAO","SCHIZOPHRENIA"
"Carbilev","DAO","SCHIZOPHRENIA"
"Opustan 500","DAO","SCHIZOPHRENIA"
"Proventil Hfa","DAO","SCHIZOPHRENIA"
"Nutropin","DAO","SCHIZOPHRENIA"
"Intropin","DAO","SCHIZOPHRENIA"
"Steri-Neb Salamol","DAO","SCHIZOPHRENIA"
"GR-92132X","DAO","SCHIZOPHRENIA"
"Sitagliptin","DAO","SCHIZOPHRENIA"
"Insulin susp isophane recombinant human","DAO","SCHIZOPHRENIA"
"Topamax Sprinkle","DAO","SCHIZOPHRENIA"
"INSULIN PURIFIED BEEF","DAO","SCHIZOPHRENIA"
"Saizen Click.easy","DAO","SCHIZOPHRENIA"
"Pramlintide","DAO","SCHIZOPHRENIA"
"FLOVENT DISKUS 250","DAO","SCHIZOPHRENIA"
"Lasix Ret","DAO","SCHIZOPHRENIA"
"Frumax","DAO","SCHIZOPHRENIA"
"Seretide 50","DAO","SCHIZOPHRENIA"
"SEROSTIM LQ","DAO","SCHIZOPHRENIA"
"Fluticasone","DAO","SCHIZOPHRENIA"
"Flixonase","DAO","SCHIZOPHRENIA"
"TOPAMAX","DAO","SCHIZOPHRENIA"
"Salbuvent","DAO","SCHIZOPHRENIA"
"Cobutolin","DAO","SCHIZOPHRENIA"
"PUMP-HEP","DAO","SCHIZOPHRENIA"
"R 64 766","DAO","SCHIZOPHRENIA"
"FLOVENT DISKUS 100","DAO","SCHIZOPHRENIA"
"HOE 498","DAO","SCHIZOPHRENIA"
"LYXUMIA","DAO","SCHIZOPHRENIA"
"Fluticasone propionate ","DAO","SCHIZOPHRENIA"
"Omnitrope","DAO","SCHIZOPHRENIA"
"Omarigliptin","DAO","SCHIZOPHRENIA"
"AR-C126532XX","DAO","SCHIZOPHRENIA"
"Dysman-500","DAO","SCHIZOPHRENIA"
"AIRFLUSAL FORSPIRO","DAO","SCHIZOPHRENIA"
"FRUMIL","DAO","SCHIZOPHRENIA"
"OMNITROPE PEN 10","DAO","SCHIZOPHRENIA"
"NN-304","DAO","SCHIZOPHRENIA"
